Product,Brand,Product Code,Price,Inward Date,Dispatch Date,Quantity Sold,Sales,Mobile customer id,Customer Name,Customer Location,Region,Processor Specification,RAM,ROM,SSD,stock in inventory,Product segmentation
Mobile Phone,Oppo,C37C4712,86246,24-03-2023,18-05-2023,2,172492,16374,Patricia Gibson,East Tyroneshire,East,Snapdragon 8 Gen,6,1028,N/A,55,High stroage phone
Mobile Phone,Huawei,80B24ED4,168740,24-03-2023,08-05-2023,5,843700,2662,Brian Combs,Ericton,South,Snapdragon 8 Gen,6,256,N/A,45,Preimum phone
Mobile Phone,Realme,BD898090,159886,24-03-2023,05-04-2023,10,1598860,3826,Christina Cunningham,Gonzalezmouth,Central,Snapdragon 8 Gen,16,64,N/A,12,Preimum phone
Mobile Phone,Google,CCD7000C,40635,24-03-2023,28-04-2023,5,203175,2137,Benjamin Wilson,Griffinstad,East,Samsung Exynos,8,512,N/A,35,Mid range phone
Mobile Phone,Apple,43428FB8,45657,24-03-2023,21-04-2023,7,319599,3087,Caitlyn Church,Jameshaven,East,Snapdragon 8 Gen,6,1028,N/A,28,High stroage phone
Mobile Phone,Lenovo,354ABE15,167014,24-03-2023,14-05-2023,9,1503126,2780,Brian Stewart,Janetport,West,Snapdragon 7 Gen,6,128,N/A,51,Preimum phone
Mobile Phone,iQOO,881EDB7D,59524,24-03-2023,13-05-2023,3,178572,14076,Mary Price,Johnborough,East,Snapdragon 8 Gen,12,256,N/A,50,Mid range phone
Mobile Phone,Vivo,FB072C7C,52619,24-03-2023,04-05-2023,2,105238,19216,Spencer Perry,Lake Ashley,West,Samsung Exynos,6,512,N/A,41,Mid range phone
Mobile Phone,Samsung,8F6694CD,113040,24-03-2023,01-04-2023,4,452160,5987,Donna Ayers,Lake Daniellestad,North,Snapdragon 7 Gen,32,256,N/A,8,Gaming phone
Mobile Phone,Samsung,275835BA,118536,24-03-2023,27-03-2023,10,1185360,20800,Tony Green,Lake Lisa,West,MediaTek Dimensity,6,256,N/A,3,Preimum phone
Mobile Phone,Oppo,5233EE74,177332,24-03-2023,14-05-2023,6,1063992,7493,Gregory Harvey,Lake Tonyaborough,Central,Snapdragon 7s,16,1028,N/A,51,Preimum phone
Mobile Phone,Redmi,76A2BF7E,53946,24-03-2023,14-05-2023,5,269730,9352,Jesse Coffey,Lynchfort,West,Apple A-Series,32,512,N/A,51,Gaming phone
Mobile Phone,Apple,3B7D8F84,36034,24-03-2023,17-05-2023,10,360340,19704,Steven Walsh,Michaelstad,South,Snapdragon 8 Gen,4,1028,N/A,54,High stroage phone
Mobile Phone,Google,F62D7845,21127,24-03-2023,25-04-2023,4,84508,8402,Jamie Lopez,Nealshire,North,Snapdragon 7 Gen,16,256,N/A,32,Mid range phone
Mobile Phone,OnePlus,2C4ACE27,146594,24-03-2023,23-04-2023,6,879564,14974,Michael Phillips,New Angelafurt,North,Snapdragon 7s,4,512,N/A,30,Preimum phone
Mobile Phone,Sony,2C8033D9,20451,24-03-2023,20-05-2023,3,61353,19214,Spencer Jones,North Jessicaville,West,MediaTek Dimensity,16,128,N/A,57,Mid range phone
Mobile Phone,Google,ED410D8F,140006,24-03-2023,27-03-2023,6,840036,921,Amy Lopez,North Tracey,South,Snapdragon 7 Gen,8,1028,N/A,3,High stroage phone
Mobile Phone,Samsung,312EA75E,21050,24-03-2023,25-04-2023,5,105250,9958,John Mckee,Paceland,North,Samsung Exynos,32,128,N/A,32,Gaming phone
Mobile Phone,Redmi,1F285752,53126,24-03-2023,28-04-2023,9,478134,1330,Angela Riley,Patriciaville,West,Snapdragon 7 Gen,32,256,N/A,35,Gaming phone
Mobile Phone,OnePlus,937232B4,77343,24-03-2023,21-05-2023,3,232029,18,Aaron Evans,Port Marvin,West,Snapdragon 8 Gen,16,1028,N/A,58,High stroage phone
Mobile Phone,Nokia,EA4EA5F0,23931,24-03-2023,01-05-2023,8,191448,13461,Mallory Sullivan,Port Matthew,North,MediaTek Dimensity,32,128,N/A,38,Gaming phone
Mobile Phone,OnePlus,D9C5D947,52072,24-03-2023,13-05-2023,10,520720,10813,Judy Ashley,Port Teresa,South,Apple A-Series,6,1028,N/A,50,High stroage phone
Mobile Phone,iQOO,202069C9,166040,24-03-2023,11-04-2023,3,498120,21437,Wendy Johnson,Rachelfort,West,Snapdragon 7 Gen,6,1028,N/A,18,High stroage phone
Mobile Phone,Lenovo,2DD112BB,167281,24-03-2023,30-03-2023,6,1003686,20107,Taylor Rodriguez,South George,South,Samsung Exynos,12,64,N/A,6,Preimum phone
Mobile Phone,Sony,4B68C2D6,137252,24-03-2023,08-05-2023,3,411756,20143,Teresa Maldonado,South Robertofort,East,Snapdragon 7 Gen,8,512,N/A,45,Mid range phone
Mobile Phone,Nokia,E6745150,187419,24-03-2023,18-05-2023,9,1686771,8282,James Park,Steventown,Central,Snapdragon 7s,12,1028,N/A,55,Preimum phone
Mobile Phone,OnePlus,76539F3A,188942,24-03-2023,28-03-2023,5,944710,12666,Lauren Allen,Valdezburgh,West,MediaTek Dimensity,6,128,N/A,4,Preimum phone
Mobile Phone,Samsung,A48F3B27,46651,24-03-2023,04-04-2023,10,466510,21157,Vanessa Riley,West Christinetown,North,Apple A-Series,4,256,N/A,11,Mid range phone
Mobile Phone,Apple,753C5BDB,121809,24-03-2023,16-04-2023,1,121809,17687,Roberta Nelson,West Kevin,West,MediaTek Helio,8,1028,N/A,23,High stroage phone
Mobile Phone,Nokia,222CE370,145202,24-03-2023,12-04-2023,9,1306818,1567,Anthony Kim,West Sheryl,West,Samsung Exynos,16,256,N/A,19,Preimum phone
Mobile Phone,Apple,85CC15C1,151804,25-03-2023,05-05-2023,2,303608,3166,Carl Knight,Abigailmouth,Central,Snapdragon 7s,16,256,N/A,41,Mid range phone
Mobile Phone,Samsung,47949365,101247,25-03-2023,05-05-2023,3,303741,14717,Michael Adams,Aguilarside,East,Snapdragon 7 Gen,4,256,N/A,41,Mid range phone
Mobile Phone,Vivo,9FB0BBB6,142798,25-03-2023,07-05-2023,6,856788,15433,Monica Martin,Calvintown,North,Samsung Exynos,12,256,N/A,43,Preimum phone
Mobile Phone,Samsung,EEADC265,26732,25-03-2023,30-04-2023,1,26732,8369,James Wilson,Clarkville,North,Snapdragon 7s,12,64,N/A,36,Mid range phone
Mobile Phone,Nokia,F37B9097,37807,25-03-2023,18-04-2023,5,189035,8882,Jeffrey Nguyen,East Matthewborough,South,MediaTek Dimensity,12,512,N/A,24,Mid range phone
Mobile Phone,Nokia,3856F222,95700,25-03-2023,26-03-2023,6,574200,11987,Kevin Rivers,Gilmorechester,East,Snapdragon 8 Gen,16,64,N/A,1,Mid range phone
Mobile Phone,Vivo,D20CFA90,193414,25-03-2023,08-04-2023,1,193414,15769,Mrs. Shelley Allen,Harrisland,South,Samsung Exynos,8,64,N/A,14,Mid range phone
Mobile Phone,Vivo,60980CCC,86801,25-03-2023,27-03-2023,10,868010,2323,Bradley Scott,Kyleport,South,MediaTek Helio,8,64,N/A,2,Preimum phone
Mobile Phone,Vivo,3DEB93AA,134461,25-03-2023,09-04-2023,9,1210149,14939,Michael Mills,Lake Jacquelineton,North,Samsung Exynos,6,1028,N/A,15,Preimum phone
Mobile Phone,iQOO,A0B0ECCF,44963,25-03-2023,09-05-2023,8,359704,21805,Zachary Willis,Lake Sheila,North,Snapdragon 7 Gen,12,256,N/A,45,Mid range phone
Mobile Phone,iQOO,768669CF,5708,25-03-2023,22-04-2023,2,11416,13951,Martin Ferguson,Lisafort,West,Snapdragon 7s,16,1028,N/A,28,High stroage phone
Mobile Phone,Vivo,534D3095,66684,25-03-2023,29-03-2023,10,666840,16391,Patricia Jones,Michaelport,South,Apple A-Series,32,128,N/A,4,Gaming phone
Mobile Phone,iQOO,E366644B,182712,25-03-2023,14-04-2023,6,1096272,18090,Ryan Summers,Munozmouth,South,Samsung Exynos,8,512,N/A,20,Preimum phone
Mobile Phone,Redmi,AD74B0CE,144140,25-03-2023,02-05-2023,1,144140,6406,Edward Murray,New Courtney,South,Snapdragon 7s,8,512,N/A,38,Mid range phone
Mobile Phone,Vivo,7B8A033D,58338,25-03-2023,16-05-2023,2,116676,7890,Isabella Nichols,New Patricia,North,Snapdragon 8 Gen,4,64,N/A,52,Mid range phone
Mobile Phone,Oppo,39F419CE,192499,25-03-2023,21-04-2023,5,962495,4358,Colleen Dean,North Adrienne,South,MediaTek Helio,6,128,N/A,27,Preimum phone
Mobile Phone,Vivo,40B37FF8,22122,25-03-2023,29-04-2023,9,199098,15921,Nathan Douglas,Pattersonport,South,MediaTek Dimensity,12,1028,N/A,35,High stroage phone
Mobile Phone,Vivo,CEA6554B,87937,25-03-2023,02-05-2023,9,791433,20457,Tiffany Ferguson,South Brianfort,Central,MediaTek Dimensity,16,1028,N/A,38,High stroage phone
Mobile Phone,Sony,1A970055,31257,25-03-2023,17-05-2023,10,312570,4122,Christopher Munoz,South Michael,West,MediaTek Helio,32,256,N/A,53,Gaming phone
Mobile Phone,Motorola,2D69480B,157207,25-03-2023,22-04-2023,7,1100449,5093,Danny Williamson,Thomasport,Central,Samsung Exynos,8,64,N/A,28,Preimum phone
Mobile Phone,Redmi,24A5F68B,116063,25-03-2023,18-05-2023,3,348189,17839,Ronald Galvan,Tonychester,West,Apple A-Series,8,128,N/A,54,Mid range phone
Mobile Phone,Redmi,015A7BE7,147238,25-03-2023,05-04-2023,4,588952,16740,Philip Sims,Tylermouth,Central,MediaTek Dimensity,32,128,N/A,11,Gaming phone
Mobile Phone,Vivo,EE3EBB7A,65948,25-03-2023,03-05-2023,10,659480,16988,Raymond Harris,West Chelseyland,West,MediaTek Helio,6,128,N/A,39,Mid range phone
Mobile Phone,Apple,4EFE12AA,112504,26-03-2023,31-03-2023,5,562520,2249,Blake Wong,Adamsburgh,South,Apple A-Series,12,256,N/A,5,Mid range phone
Mobile Phone,Huawei,FB125D92,5213,26-03-2023,30-03-2023,1,5213,10057,John Washington,Baileyborough,South,Snapdragon 7s,16,64,N/A,4,Mid range phone
Mobile Phone,Realme,A73ED352,184411,26-03-2023,03-04-2023,4,737644,5489,Deanna Perkins,Bennettburgh,East,MediaTek Dimensity,32,128,N/A,8,Gaming phone
Mobile Phone,Huawei,8C5AF9D7,130089,26-03-2023,14-05-2023,1,130089,20007,Tanya Gardner,Bergermouth,Central,Samsung Exynos,4,1028,N/A,49,High stroage phone
Mobile Phone,Vivo,AF12CB96,31417,26-03-2023,20-05-2023,7,219919,12816,Lee Cummings,Cherylchester,South,Apple A-Series,8,64,N/A,55,Mid range phone
Mobile Phone,OnePlus,BD5E913A,76937,26-03-2023,22-04-2023,7,538559,1124,Andrew Haynes,East Kellyville,Central,Samsung Exynos,4,128,N/A,27,Mid range phone
Mobile Phone,Realme,4353A49E,155526,26-03-2023,25-04-2023,5,777630,13863,Mark Olson,East Maryborough,East,Samsung Exynos,4,64,N/A,30,Preimum phone
